iter	Passed	Remaining
0	62	62159
1	66	33298
2	69	23154
3	72	18018
4	75	14930
5	77	12898
6	82	11642
7	83	10406
8	85	9433
9	87	8621
10	89	8048
11	91	7554
12	94	7204
13	100	7062
14	103	6781
15	105	6464
16	107	6224
17	111	6108
18	114	5912
19	117	5773
20	119	5577
21	123	5493
22	126	5369
23	127	5192
24	129	5044
25	131	4936
26	135	4889
27	138	4810
28	140	4709
29	142	4612
30	144	4522
31	147	4451
32	149	4366
33	151	4298
34	153	4241
35	158	4238
36	162	4222
37	165	4199
38	169	4168
39	172	4130
40	175	4097
41	177	4051
42	179	3994
43	181	3947
44	184	3907
45	186	3861
46	188	3823
47	190	3785
48	192	3737
49	194	3704
50	196	3662
51	198	3613
52	199	3564
53	201	3531
54	206	3550
55	209	3532
56	212	3523
57	215	3498
58	217	3473
59	219	3445
60	222	3422
61	224	3395
62	226	3374
63	228	3344
64	230	3320
65	233	3298
66	235	3274
67	237	3252
68	240	3238
69	242	3215
70	244	3197
71	246	3181
72	249	3161
73	251	3144
74	253	3126
75	255	3107
76	257	3086
77	260	3077
78	262	3063
79	264	3045
80	267	3034
81	269	3016
82	271	3002
83	273	2986
84	275	2969
85	278	2957
86	280	2942
87	283	2937
88	286	2928
89	288	2919
90	291	2907
91	293	2893
92	295	2882
93	297	2868
94	299	2852
95	301	2841
96	304	2835
97	306	2825
98	309	2819
99	313	2818
100	315	2811
101	318	2800
102	320	2792
103	322	2780
104	325	2773
105	327	2759
106	329	2746
107	330	2732
108	333	2725
109	335	2716
110	337	2701
111	339	2690
112	341	2683
113	343	2672
114	346	2663
115	348	2652
116	350	2644
117	352	2636
118	355	2635
119	361	2648
120	365	2657
121	369	2660
122	372	2652
123	374	2644
124	377	2640
125	379	2635
126	382	2632
127	385	2626
128	387	2619
129	390	2611
130	392	2602
131	394	2596
132	397	2588
133	399	2583
134	402	2579
135	405	2576
136	407	2567
137	409	2560
138	412	2552
139	414	2544
140	416	2536
141	419	2532
142	421	2524
143	423	2518
144	425	2509
145	427	2501
146	429	2492
147	431	2484
148	433	2474
149	435	2466
150	437	2457
151	439	2450
152	442	2447
153	444	2444
154	447	2441
155	449	2432
156	451	2424
157	453	2417
158	455	2410
159	457	2403
160	460	2399
161	462	2392
162	464	2384
163	466	2375
164	468	2369
165	470	2362
166	472	2356
167	474	2351
168	477	2348
169	479	2342
170	482	2340
171	484	2334
172	487	2329
173	489	2323
174	492	2321
175	496	2322
